Author,Quote
,"""Airports see more sincere kisses than wedding halls. The walls of hospitals have heard more prayers than the walls of churches."""
Plato,"""According to Greek mythology, humans were originally created with four arms, four legs and a head with two faces. Fearing their power, Zeus split them into two separate parts, condemning them to spend their lives in search of their other halves."""
Plato,"""Ignorance, the root and stem of every evil."""
https://twitter.com/rajuparulekar/status/1291020717413130247?lang=en,"""First we overlook evil. Then we permit evil. Then we leaglize evil. Then we promote evil. Then we celebrate evil. Then we persecute those who still call it evil."""
St. Sophrony of Essex,The cosmological unity of humanity is such that every separate individual overcoming evil in himself inflicts such a defeat on cosmic evil that its consequences have a beneficial effect on the destines of the world world.
Epicurus,"""If God listened to the prayers of men, all men would quickly have permished: for they are forever praying for evil against one another."""
Winston Churchill,Success is walking from failure to failure with no loss of enthusiasm
Alexander the Great,There is nothing impossible to him who will try.
John D. Rockefeller,Don't be afraid to give up the good to go for the great
Johann Wolfgang von Goethe,"""Be above it! Make the world serve your purpose, but do not serve it!"""
Hunter S. Thompson,"So we shall let the reader answer this question for himself: who is the happier man, he who has braved the storm of life and lived, or he who has stayed securely on the shore and merely existed?"
Johann Wolfgang von Goethe,Everything is hard before it is easy.
Marcus Tullius Cicero,"Whatever you do, do with all your might."
Kurt Vonnegut Jr.,Be soft. Do not let the world make you hard. Do not let pain make you hate. Do not let the bitterness steal your sweetness.
George Eliot,It is never too late to be what you might have been.
Ayn Rand,The question isn't who is going to let me; it's who is going to stop me
Ralph Waldo Emerson,The only person you are destined to become is the person you decide to be.
Lao Tzu,Care about what other people think and you will always be their prisoner.
Confucius,"Choose a job you love, and you will never have to work a day in your life."
Grace Hopper,"The most dangerous phrase in the language is, 'We've always done it this way.'"""
Mother Teresa,"I alone cannot change the world, but I can cast a stone across the water to create many ripples"
Albert Einstein,In the middle of difficulty lies opportunity.
Seneca,"""We suffer more in imagination than in reality."""
Confucius,"""Act with kindness but do not expected gratitude."""
Mama Indigo,"The best thing you could do is master the chaos in you. You are not thrown into the fire, you are the fire."
Allan Shepard,"“I must admit, maybe I am a piece of history after all.”"
Frida Kahlo,"At the end fo the day, we can endure much more than we think we can."
Aristotle,It is during our darkest moments that we must focus to see the light.
Maya Angelou,"You will face many defeats in life, but never let yourself be defeated"
Rumi,"You were born with wings, why prefer to crawl through life?"
Confucius,"""To be wronged is nothing, unless you continue to remember it."""
Terrence McKenna,"""The problem is not to find the answer, it's to face the answer."""
Paulo Coelho,"Not all storms come to disrupt your life, some come to clear your path."
Amelia Earhart,"The most difficult thing is the decision to act, the rest is merely tenacity"
Ralph Waldo Emerson,"""The only person you are destined to be become is the person you decide to be."""
Plato,"""Never discourage anyone...who continually makes progress, no matter how slow."""
Confucius,"""The superior man is modest in his speech, but exceeds in his actions."""
(Hindu Proverb),"The man who knows nothing of music, literature, or art is no better than a beast."
Henry Ford,"""Most people spend more time and energy going around problems than in trying to solve them."""
Pope Benedict XVI,The world offers you comfort. But you were not made for comfort. You were made for greatness.
La Rouchefoucauld,"""When we are unable to find tranquility within ourselves, it is useless to seek it elsewhere."""
Anne Frank,How wonderful it is that nobody need wait a single moment before starting to improve the world.
Oprah Winfrey,Think like a queen. A queen is not afraid to fail. Failure is another stepping stone to greatness.
Thomas A. Edison,Many of life's failures are people who did not realize how close they were to success when they gave up.
Friedrich Nietzsche,A declaration of war on the masses by higher men is needed! Everywhere the mediocre are combining in order to make themselves master!
Serena Williams,I really think a champion is defined not by their wins but by how they can recover when they fall.
Havamal,"A wayfarer should not walk unarmed, but have his weapons to hand: he knows not when he may need a spear, or what menace meet on the road."
Confucius,"""When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps."""
Erma Bombeck,"""When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left and could say, 'I used everything you gave me.'"""
Marcus Aurelius,"""To live the good life: We have the potential for it. If we can learn to be indifferent to what makes no difference."""
Max Lerner,"""Despite the success cult, men are most deeply moved not by the reaching of the goal but by the grandness in the effort involved in getting there - or failing to get there."""
